編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPXNMLKLKHMFFBC87CA,成功段,29.75,都市：商
RPXNMLKLKHMFFBC87CA,成功段,1.58,都市：其他
RPXNMLKLKHMFFBC87CA,成功段,.33,都市：其他
RPQNMLOKOHMFFCC97CA,新會段,29.49,都市：住
RPUNMLSLMHMFFBC58CA,調和段,87.89,都市：住
RPUNMLSLMHMFFBC58CA,調和段,.05,都市：其他
RPUNMLSLMHMFFBC58CA,調和段,.48,都市：住
RPUNMLSLMHMFFBC58CA,調和段,.05,都市：其他
RPUNMLRLMHMFFCC58CA,舊站段,32.25,都市：商
RPXNMLSLMHMFFCC98CA,太平段,44.00,都市：住
RPOOMLSLMHMFFCC18CA,五堵段五堵北小段,38.02,都市：住
RPPOMLLJNHMFFCC47CA,麥金段,.01,都市：住
RPPOMLLJNHMFFCC47CA,麥金段,16.03,都市：住
RPPOMLLJNHMFFCC47CA,麥金段,.02,都市：住
RPSOMLLJNHMFFCC77CA,觀音段,25.70,都市：住
RPSOMLLJNHMFFCC77CA,觀音段,2.90,都市：住
RPSOMLLJNHMFFCC77CA,觀音段,3.70,都市：其他
RPVOMLLJNHMFFCC08CA,源遠段,31.90,都市：住
RPXOMLLJNHMFFCC28CA,源遠段,20.90,都市：住
RPTNMLKKNHMFFCC77CA,觀音段,22.59,都市：住
RPTNMLKKNHMFFCC77CA,觀音段,1.10,都市：其他
RPTNMLKKNHMFFCC77CA,觀音段,.09,都市：其他
RPOOMLLKNHMFFCC47CA,麥金段,17.13,都市：住
RPOOMLLKNHMFFCC47CA,麥金段,.02,都市：住
RPOOMLLKNHMFFCC47CA,麥金段,.01,都市：住
RPSOMLQLMHMFFCC38CA,五堵段五堵北小段,37.00,都市：其他
RPPOMLMKNHMFFCC67CA,麥金段,15.73,都市：住
RPPOMLMKNHMFFCC67CA,麥金段,.02,都市：住
RPPOMLMKNHMFFCC67CA,麥金段,.01,都市：住
RPUNMLTKNHMFFCC78CA,五堵段五堵北小段,38.05,都市：住
RPVNMLTKNHMFFCC88CA,五堵段五堵北小段,40.48,都市：住
RPOOMLTKNHMFFCC28CA,新會段,41.15,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.04,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,.07,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,5.09,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.05,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,.12,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,2.34,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.01,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,5.38,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.12,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,.05,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,.21,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,.02,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,.12,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,.02,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.03,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,.00,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,1.16,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.08,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,7.64,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.00,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,1.72,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.02,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.06,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.03,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,2.63,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.05,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.03,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.02,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.03,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.02,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.09,都市：其他
RPPNMLOLNHMFFCC87CA,武嶺段,.05,都市：住
RPPNMLOLNHMFFCC87CA,武嶺段,.00,都市：其他
RPQNMLOLNHMFFCC97CA,明德段,30.50,都市：住
RPTOMLRKNHMFFCC58CA,五堵段五堵北小段,55.40,都市：住
RPPNMLKMMHMFFCC57DA,安國段,28.34,都市：住
RPTNMLLJNHMFFCC97EA,暖暖段東勢坑小段,46.92,都市：住
RPROMLNLNHMFFCC28EA,金華段,15.63,都市：住
RPOOMLKKNHMFFCC37CA,五堵段五堵北小段,38.34,都市：住
RPRNMLTJNHMFFCC38CA,觀音段,12.04,都市：住
RPPOMLSLMHMFFCC28CA,麥金段,20.87,都市：住
RPPOMLSLMHMFFCC28CA,麥金段,.22,都市：其他
RPPNMLLJNHMFFCC37CA,保定段,40.70,都市：住
RPPNMLLJNHMFFCC37CA,保定段,.98,都市：住
RPPNMLLJNHMFFCC37CA,保定段,.04,都市：住
RPXNMLKKNHMFFCC18CA,源遠段,20.90,都市：住
RPTNMLNJNHMFFCC97CA,麥金段,16.59,都市：住
RPTNMLNJNHMFFCC97CA,麥金段,.02,都市：住
RPTNMLNJNHMFFCC97CA,麥金段,.01,都市：住
RPUNMLNJNHMFFCC08CA,麥金段,16.95,都市：住
RPUNMLNJNHMFFCC08CA,麥金段,.02,都市：住
RPUNMLNJNHMFFCC08CA,麥金段,.01,都市：住
RPROMLNJNHMFFCC87CA,觀音段,24.70,都市：住
RPPNMLQJNHMFFCC87CA,八德段,18.79,都市：住
RPPNMLQJNHMFFCC87CA,八德段,11.03,都市：住
RPVOMLKKNHMFFCC08CA,源遠段,28.16,都市：住
RPUNMLPLNHMFFCC48CA,武嶺段,17.95,都市：住
RPTNMLTKNHMFFCC68CA,觀音段,17.00,都市：住
RPTNMLTKNHMFFCC68CA,觀音段,.83,都市：住
RPQNMLLLNHMFFCC67CA,大華段,31.87,都市：商
RPUNMLNLNHMFFCC28CA,安國段,38.05,都市：住
RPXNMLMLNHMFFCC48CA,源遠段,58.00,都市：住
RPVOMLRKNHMFFCC78CA,暖暖段東勢坑小段,62.14,都市：住
RPVOMLOLNHMFFCC58CA,過港段,23.44,都市：住
RPTOMLLJNHMFFCC87CA,源遠段,16.43,都市：住
RPSNMLOJNHMFFBC87CA,深澳段,1.34,都市：住
RPQOMLMJNHMFFBC57CA,基瑞段,25.37,都市：住
RPROMLMJNHMFFBC67CA,調和段,6.08,都市：住
RPUNMLSJNHMFFBC48CA,調和段,1.70,都市：其他
RPUNMLSJNHMFFBC48CA,調和段,.00,都市：其他
RPUNMLSJNHMFFBC48CA,調和段,.00,都市：住
RPQOMLSJNHMFFBC18CA,深澳段,24.05,都市：住
RPQNMLKKNHMFFBC37CA,調和段,19.14,都市：住
RPSNMLSKNHMFFBC38CA,成功段,16.33,都市：住
RPSNMLSKNHMFFBC38CA,成功段,1.17,都市：住
RPPNMLKKNHMFFBC27CA,港濱段,21.24,都市：其他
RPPNMLKKNHMFFBC27CA,港濱段,2.83,都市：其他
RPQOMLKKNHMFFBC47CA,祥豐段,23.60,都市：商
RPQNMLNJNHMFFBC57CA,培德段,32.72,都市：住
RPQOMLNJNHMFFCC97EA,德育段,64.00,都市：住
RPROMLNJNHMFFCC08EA,德育段,5.00,都市：住
RPVNMLSJNHMFFBC58CA,中濱段,8.15,都市：住
RPVNMLSJNHMFFBC58CA,中濱段,3.23,都市：其他
RPPNMLRJNHMFFBC87CA,南新段,31.50,都市：住
RPPNMLRJNHMFFBC87CA,南新段,10.25,都市：其他
RPVNMLLKNHMFFBC97CA,延年段,41.48,都市：住
RPVNMLLKNHMFFBC97CA,延年段,1.86,都市：其他
RPWNMLLKNHMFFBC08CA,長潭段,2.15,都市：住
RPWNMLLKNHMFFBC08CA,長潭段,21.54,都市：住
RPRNMLMLNHMFFBC77CA,港濱段,5.28,都市：住
RPRNMLMLNHMFFBC77CA,港濱段,.61,都市：其他
RPTNMLLKNHMFFBC77CA,深美段,27.78,都市：住
RPQNMLPJNHMFFBC77CA,深澳段,26.62,都市：住
RPVNMLNLNHMFFBC28CA,培德段,10.19,都市：住
RPVNMLNLNHMFFBC28CA,培德段,10.19,都市：住
RPPOMLSJNHMFFBC08CA,港濱段,76.00,都市：住
RPSNMLKKNHMFFBC57CA,調和段,69.05,都市：住
RPQNMLSJNHMFFBC18DA,港濱段,19.25,都市：住
RPQOMLSJNHMFFCC38DA,代天府段,23.51,都市：住
RPQOMLSJNHMFFCC38DA,代天府段,.84,都市：住
RPRNMLOLNHMFFBC08DA,調和段,.00,都市：住
RPRNMLOLNHMFFBC08DA,調和段,.00,都市：其他
RPRNMLOLNHMFFBC08DA,調和段,6.79,都市：其他
RPRNMLOLNHMFFBC08DA,調和段,.00,都市：其他
RPRNMLOLNHMFFBC08DA,調和段,.00,都市：住
RPSNMLMKNHMFFBC87DA,長潭段,2.13,都市：住
RPSNMLMKNHMFFBC87DA,長潭段,21.28,都市：住
