鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
三星鄉,房地(土地+建物),星月段451~480地號,123.07,住,,,1041223,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,3,4,有,無,8380000,45054,,0.0,0,,RPTNMLNLKHMFFAG28DB
三星鄉,房地(土地+建物),星月段451~480地號,119.91,住,,,1041213,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,3,4,有,無,8200000,44086,,0.0,0,,RPUNMLNLKHMFFAG38DB
三星鄉,房地(土地+建物),星月段451~480地號,113.55,住,,,1051118,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,186.0,4,3,4,有,無,8100000,43548,,0.0,0,,RPOPMLNLKHMFFAG97DB
三星鄉,房地(土地+建物),星月段451~480地號,95.11,住,,,1040901,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,158.66,4,3,4,有,無,6980000,43993,,0.0,0,,RPPPMLNLKHMFFAG08DB
三星鄉,房地(土地+建物),大德段571~600地號,225.67,,特定農業區,甲種建築用地,1050909,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,260.57,3,2,4,有,無,12800000,49123,,0.0,0,,RPROMLQLMHMFFAG58CB
三星鄉,房地(土地+建物),大德段571~600地號,225.67,,特定農業區,甲種建築用地,1050909,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,260.57,3,2,4,有,無,12800000,49123,,0.0,0,,RPSOMLQLMHMFFAG68CB
三星鄉,房地(土地+建物),大德段571~600地號,225.67,,特定農業區,甲種建築用地,1051001,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,260.57,3,2,4,有,無,12800000,49123,,0.0,0,,RPTOMLQLMHMFFAG78CB
三星鄉,房地(土地+建物),大德段571~600地號,231.67,,特定農業區,甲種建築用地,1051119,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,260.57,3,2,4,有,無,12980000,49814,,0.0,0,,RPOPMLQLMHMFFAG38CB
三星鄉,房地(土地+建物),大德段571~600地號,225.67,,特定農業區,甲種建築用地,1041215,土地4建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,259.88,3,2,4,有,無,12700000,48869,,0.0,0,,RPRNMLRLMHMFFAG58CB
三星鄉,房地(土地+建物),大德段571~600地號,225.67,,特定農業區,甲種建築用地,1050107,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,259.88,3,2,4,有,無,12650000,48676,,0.0,0,,RPSNMLRLMHMFFAG68CB
三星鄉,房地(土地+建物),大德段571~600地號,225.67,,特定農業區,甲種建築用地,1050121,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,259.88,3,2,4,有,無,12650000,48676,,0.0,0,,RPTNMLRLMHMFFAG78CB
礁溪鄉,房地(土地+建物),公園段31~60地號,8.27,其他,,,1060217,土地1建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,52.85,0,0,0,無,無,6370000,120530,,0.0,0,,RPPPMLSJNHMFFBG68CB
礁溪鄉,房地(土地+建物),公園段31~60地號,16.12,其他,,,1060310,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,106.53,0,0,0,無,無,13220000,124096,,0.0,0,,RPQPMLSJNHMFFBG78CB
礁溪鄉,房地(土地+建物),公園段31~60地號,8.27,其他,,,1060128,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,52.85,0,0,0,無,無,6330000,119773,,0.0,0,,RPRPMLSJNHMFFBG88CB
礁溪鄉,房地(土地+建物),公園段31~60地號,8.27,其他,,,1060310,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,52.85,0,0,0,無,無,6560000,124125,,0.0,0,,RPSPMLSJNHMFFBG98CB
礁溪鄉,房地(土地+建物),公園段31~60地號,10.07,其他,,,1040327,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.47,0,0,0,無,無,9470000,132503,,0.0,0,,RPTPMLSJNHMFFBG09CB
礁溪鄉,房地(土地+建物),公園段31~60地號,10.07,其他,,,1040516,土地1建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,71.47,0,0,0,無,無,8850000,123828,,0.0,0,,RPUPMLSJNHMFFBG56CB
